,location,indicator,SUBJECT,MEASURE,FREQUENCY,TIME,TIME.1,Value
319,LTU,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.288824487
320,LTU,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.233428085
321,LTU,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.235039274
322,EA17,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.18464194899999997
323,EA17,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.240891364
324,EA17,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.528207389
325,EA17,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.761301635
326,EA17,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.168101606
327,EA17,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.118827493
328,EA17,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.37880127
